genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.568627450980394},"{'trajectory': 1.148785678207825, 'white_gazing': 0.11449900131913329}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.098039215686274},"{'trajectory': 1.2828603148647926, 'white_gazing': 0.10956115198137939}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.05228758169934},"{'trajectory': -0.5061768522277761, 'white_gazing': 0.1412973904995283}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.9580316992809047, 'white_gazing': 0.1009232057196375}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 31.56862745098039},"{'trajectory': 0.40353664521824456, 'white_gazing': 0.10433427050144556}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 21.568627450980394},"{'trajectory': 1.148785678207825, 'white_gazing': 0.11449900131913329}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 35.62091503267974},"{'trajectory': -0.20974081734872901, 'white_gazing': 0.09172368280057049}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 22.77777777777778},"{'trajectory': -0.8645084667775742, 'white_gazing': 0.12907810956448867}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,14])}",{'brightness': 24.575163398692812},"{'trajectory': -0.039113057047888276, 'white_gazing': 0.18536613501318422}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.542483660130717},"{'trajectory': -1.2890704368135315, 'white_gazing': 0.11147182307373907}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': 0.9063279062197088, 'white_gazing': 0.09559268945490618}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.568627450980394},"{'trajectory': 1.148785678207825, 'white_gazing': 0.11449900131913329}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.901960784313726},"{'trajectory': 0.5248747401729268, 'white_gazing': 0.11625325928957958}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 34.64052287581699},"{'trajectory': -0.2727574399162069, 'white_gazing': 0.10793328358496626}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 21.339869281045754},"{'trajectory': 0.6502138205777331, 'white_gazing': 0.12509852042942532}",0
